0.456,0.607,0.290,0.069
0.370,0.200,0.366,0.656
0.027,0.000,0.903,0.264
0.323,0.956,0.737,0.370
0.909,0.857,0.568,0.579
0.175,0.268,0.111,0.551
0.582,0.022,0.192,0.935
0.067,0.201,0.636,0.649
0.508,0.946,0.536,0.173
0.451,0.820,0.006,0.425
0.937,0.257,0.720,0.781
0.379,0.081,0.972,0.561
0.039,0.504,0.376,0.666
0.959,0.297,0.906,0.761
0.626,0.098,0.643,0.022
0.023,0.682,0.255,0.484
0.871,0.342,0.312,0.363
0.601,0.761,0.448,0.057
0.713,0.531,0.787,0.375
0.767,0.264,0.829,0.038
